Column1;Команда №1;Команда №2;Счёт
;Спартак;Уралмаш;5 : 1
;Спартак-Алания;Текстильщик;2 : 0
;Ростсельмаш;КАМАЗ-Чаллы;2 : 0
;Локомотив;Крылья Советов;2 : 1
;Ротор;Локомотив НН;1 : 1
;Жемчужина;Динамо;0 : 1
;Черноморец;ЦСКА;1 : 3
;Торпедо М;Динамо-Газовик;2 : 1
;Динамо;Локомотив;2 : 1
;Крылья Советов;Жемчужина;0 : 0
;Уралмаш;Ротор;5 : 0
;Локомотив НН;Черноморец;0 : 1
;Текстильщик;Спартак;2 : 2
;Динамо-Газовик;Ростсельмаш;2 : 0
;КАМАЗ-Чаллы;Спартак-Алания;1 : 0
;ЦСКА;Торпедо М;2 : 1
;Спартак;Динамо-Газовик;4 : 1
;Торпедо М;КАМАЗ-Чаллы;2 : 1
;Ростсельмаш;Текстильщик;2 : 1
;Локомотив;Локомотив НН;1 : 0
;Ротор;Крылья Советов;0 : 0
;Жемчужина;Уралмаш;4 : 1
;Черноморец;Динамо;0 : 1
;Спартак-Алания;ЦСКА;2 : 1
;Динамо;Ротор;1 : 0
;Крылья Советов;Черноморец;1 : 0
;Уралмаш;Локомотив;1 : 2
;Локомотив НН;Жемчужина;2 : 2
;Текстильщик;Торпедо М;1 : 1
;Динамо-Газовик;Спартак-Алания;0 : 4
;КАМАЗ-Чаллы;Спартак;2 : 0
;ЦСКА;Ростсельмаш;4 : 0
;Ротор;Жемчужина;7 : 0
;Торпедо М;Спартак;1 : 2
;Спартак-Алания;Ростсельмаш;4 : 1
;Черноморец;Локомотив;2 : 4
;Крылья Советов;Динамо;1 : 4
;Уралмаш;Локомотив НН;1 : 0
;ЦСКА;Текстильщик;2 : 2
;КАМАЗ-Чаллы;Динамо-Газовик;1 : 1
;Спартак;Спартак-Алания;1 : 2
;Ростсельмаш;Торпедо М;1 : 2
;Локомотив;Жемчужина;1 : 1
;Черноморец;Ротор;2 : 1
;Динамо;Уралмаш;3 : 0
;Крылья Советов;Локомотив НН;1 : 1
;Текстильщик;КАМАЗ-Чаллы;1 : 0
;Динамо-Газовик;ЦСКА;2 : 0
;ЦСКА;КАМАЗ-Чаллы;2 : 2
;Торпедо М;Спартак-Алания;1 : 4
;Ростсельмаш;Спартак;1 : 1
;Ротор;Локомотив;2 : 1
;Жемчужина;Черноморец;2 : 1
;Уралмаш;Крылья Советов;0 : 0
;Локомотив НН;Динамо;1 : 1
;Динамо-Газовик;Текстильщик;0 : 3
;Торпедо М;Жемчужина;3 : 0
;Спартак-Алания;Локомотив;0 : 1
;Ростсельмаш;Черноморец;0 : 2
;ЦСКА;Динамо;1 : 3
;Текстильщик;Локомотив НН;1 : 2
;Динамо-Газовик;Уралмаш;0 : 2
;КАМАЗ-Чаллы;Крылья Советов;1 : 0
;Спартак;Ротор;1 : 2
;Локомотив;Торпедо М;0 : 0
;Ротор;Ростсельмаш;4 : 1
;Жемчужина;Спартак-Алания;0 : 2
;Черноморец;Спартак;1 : 1
;Динамо;Текстильщик;0 : 0
;Крылья Советов;Динамо-Газовик;6 : 3
;Уралмаш;ЦСКА;1 : 0
;Локомотив НН;КАМАЗ-Чаллы;0 : 0
;Спартак;Локомотив;1 : 2
;Торпедо М;Черноморец;1 : 0
;Спартак-Алания;Ротор;3 : 2
;Ростсельмаш;Жемчужина;1 : 4
;Текстильщик;Уралмаш;0 : 1
;Динамо-Газовик;Локомотив НН;0 : 0
;КАМАЗ-Чаллы;Динамо;5 : 2
;ЦСКА;Крылья Советов;4 : 1
;Локомотив;Ростсельмаш;2 : 1
;Ротор;Торпедо М;1 : 2
;Жемчужина;Спартак;1 : 2
;Черноморец;Спартак-Алания;0 : 3
;Динамо;Динамо-Газовик;1 : 0
;Крылья Советов;Текстильщик;0 : 3
;Уралмаш;КАМАЗ-Чаллы;0 : 0
;Локомотив НН;ЦСКА;0 : 0
;ЦСКА;Ротор;1 : 4
;Спартак-Алания;Локомотив НН;3 : 0
;Ростсельмаш;Крылья Советов;2 : 2
;Динамо;Спартак;0 : 2
;Уралмаш;Торпедо М;1 : 2
;Текстильщик;Локомотив;1 : 1
;Динамо-Газовик;Жемчужина;1 : 2
;КАМАЗ-Чаллы;Черноморец;2 : 0
;Спартак;ЦСКА;3 : 1
;Ротор;КАМАЗ-Чаллы;2 : 0
;Жемчужина;Текстильщик;0 : 2
;Черноморец;Уралмаш;3 : 2
;Крылья Советов;Спартак-Алания;0 : 1
;Локомотив НН;Ростсельмаш;2 : 1
;Локомотив;Динамо-Газовик;1 : 1
;Торпедо М;Динамо;0 : 0
;Спартак;Локомотив НН;3 : 1
;Спартак-Алания;Уралмаш;4 : 2
;Текстильщик;Ротор;1 : 0
;Динамо-Газовик;Черноморец;1 : 2
;КАМАЗ-Чаллы;Локомотив;0 : 2
;Торпедо М;Крылья Советов;0 : 0
;Ростсельмаш;Динамо;2 : 2
;ЦСКА;Жемчужина;4 : 0
;Локомотив;ЦСКА;0 : 1
;Ротор;Динамо-Газовик;5 : 4
;Жемчужина;КАМАЗ-Чаллы;4 : 2
;Черноморец;Текстильщик;2 : 2
;Крылья Советов;Спартак;1 : 6
;Уралмаш;Ростсельмаш;2 : 0
;Локомотив НН;Торпедо М;2 : 3
;Динамо;Спартак-Алания;1 : 2
;Торпедо М;Локомотив;1 : 0
;Спартак-Алания;Жемчужина;5 : 0
;Ростсельмаш;Ротор;0 : 4
;ЦСКА;Уралмаш;2 : 0
;Текстильщик;Динамо;1 : 2
;Динамо-Газовик;Крылья Советов;3 : 2
;КАМАЗ-Чаллы;Локомотив НН;1 : 1
;Спартак;Черноморец;5 : 0
;Локомотив;Спартак-Алания;4 : 1
;Ротор;Спартак;1 : 1
;Жемчужина;Торпедо М;3 : 1
;Черноморец;Ростсельмаш;2 : 1
;Динамо;ЦСКА;0 : 1
;Крылья Советов;КАМАЗ-Чаллы;2 : 1
;Уралмаш;Динамо-Газовик;5 : 0
;Локомотив НН;Текстильщик;4 : 1
